alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.3,2,0.39,1.50,0
0.3,2,0.39,2.00,0
0.3,2,0.39,3.00,0
0.3,2,0.39,4.00,0
0.3,2,0.39,5.00,5
0.3,2,0.39,6.00,0
0.3,2,0.39,7.00,0
0.3,3,0.44,1.50,0
0.3,3,0.44,2.00,10
0.3,3,0.44,3.00,50
0.3,3,0.44,4.00,65
0.3,3,0.44,5.00,50
0.3,3,0.44,6.00,35
0.3,3,0.44,7.00,45
0.3,4,0.52,1.50,0
0.3,4,0.52,2.00,15
0.3,4,0.52,3.00,100
0.3,4,0.52,4.00,95
0.3,4,0.52,5.00,100
0.3,4,0.52,6.00,95
0.3,4,0.52,7.00,100
0.3,5,0.57,1.50,0
0.3,5,0.57,2.00,0
0.3,5,0.57,3.00,100
0.3,5,0.57,4.00,100
0.3,5,0.57,5.00,100
0.3,5,0.57,6.00,100
0.3,5,0.57,7.00,100
0.4,1,0.45,1.50,0
0.4,1,0.45,2.00,0
0.4,1,0.45,3.00,0
0.4,1,0.45,4.00,0
0.4,1,0.45,5.00,0
0.4,1,0.45,6.00,0
0.4,1,0.45,7.00,0
0.4,2,0.50,1.50,0
0.4,2,0.50,2.00,0
0.4,2,0.50,3.00,0
0.4,2,0.50,4.00,0
0.4,2,0.50,5.00,0
0.4,2,0.50,6.00,0
0.4,2,0.50,7.00,0
0.4,3,0.55,1.50,0
0.4,3,0.55,2.00,35
0.4,3,0.55,3.00,50
0.4,3,0.55,4.00,70
0.4,3,0.55,5.00,35
0.4,3,0.55,6.00,60
0.4,3,0.55,7.00,40
0.4,4,0.63,1.50,0
0.4,4,0.63,2.00,40
0.4,4,0.63,3.00,90
0.4,4,0.63,4.00,100
0.4,4,0.63,5.00,100
0.4,4,0.63,6.00,95
0.4,4,0.63,7.00,100
0.4,5,0.69,1.50,0
0.4,5,0.69,2.00,15
0.4,5,0.69,3.00,100
0.4,5,0.69,4.00,100
0.4,5,0.69,5.00,100
0.4,5,0.69,6.00,100
0.4,5,0.69,7.00,100
0.6,1,0.66,1.50,0
0.6,1,0.66,2.00,0
0.6,1,0.66,3.00,0
0.6,1,0.66,4.00,0
0.6,1,0.66,5.00,0
0.6,1,0.66,6.00,0
0.6,1,0.66,7.00,0
0.6,2,0.71,1.50,0
0.6,2,0.71,2.00,0
0.6,2,0.71,3.00,0
0.6,2,0.71,4.00,0
0.6,2,0.71,5.00,0
0.6,2,0.71,6.00,0
0.6,2,0.71,7.00,0
0.6,3,0.77,1.50,0
0.6,3,0.77,2.00,55
0.6,3,0.77,3.00,60
0.6,3,0.77,4.00,40
0.6,3,0.77,5.00,35
0.6,3,0.77,6.00,40
0.6,3,0.77,7.00,65
0.6,4,0.87,1.50,0
0.6,4,0.87,2.00,95
0.6,4,0.87,3.00,95
0.6,4,0.87,4.00,100
0.6,4,0.87,5.00,100
0.6,4,0.87,6.00,95
0.6,4,0.87,7.00,100
0.6,5,0.93,1.50,0
0.6,5,0.93,2.00,70
0.6,5,0.93,3.00,100
0.6,5,0.93,4.00,100
0.6,5,0.93,5.00,100
0.6,5,0.93,6.00,100
0.6,5,0.93,7.00,100
0.8,1,0.86,1.50,0
0.8,1,0.86,2.00,0
0.8,1,0.86,3.00,0
0.8,1,0.86,4.00,0
0.8,1,0.86,5.00,0
0.8,1,0.86,6.00,0
0.8,1,0.86,7.00,0
0.8,2,0.93,1.50,0
0.8,2,0.93,2.00,0
0.8,2,0.93,3.00,0
0.8,2,0.93,4.00,0
0.8,2,0.93,5.00,0
0.8,2,0.93,6.00,0
0.8,2,0.93,7.00,0
0.8,3,0.99,1.50,0
0.8,3,0.99,2.00,35
0.8,3,0.99,3.00,40
0.8,3,0.99,4.00,45
0.8,3,0.99,5.00,55
0.8,3,0.99,6.00,60
0.8,3,0.99,7.00,50
0.8,4,1.10,1.50,0
0.8,4,1.10,2.00,100
0.8,4,1.10,3.00,100
0.8,4,1.10,4.00,100
0.8,4,1.10,5.00,100
0.8,4,1.10,6.00,95
0.8,4,1.10,7.00,100
0.8,5,1.18,1.50,0
0.8,5,1.18,2.00,100
0.8,5,1.18,3.00,100
0.8,5,1.18,4.00,100
0.8,5,1.18,5.00,100
0.8,5,1.18,6.00,100
0.8,5,1.18,7.00,100
1.0,1,1.07,1.50,0
1.0,1,1.07,2.00,0
1.0,1,1.07,3.00,0
1.0,1,1.07,4.00,0
1.0,1,1.07,5.00,0
1.0,1,1.07,6.00,0
1.0,1,1.07,7.00,0
1.0,2,1.14,1.50,0
1.0,2,1.14,2.00,0
1.0,2,1.14,3.00,0
1.0,2,1.14,4.00,0
1.0,2,1.14,5.00,0
1.0,2,1.14,6.00,0
1.0,2,1.14,7.00,0
1.0,3,1.21,1.50,5
1.0,3,1.21,2.00,40
1.0,3,1.21,3.00,55
1.0,3,1.21,4.00,35
1.0,3,1.21,5.00,45
1.0,3,1.21,6.00,40
1.0,3,1.21,7.00,40
1.0,4,1.33,1.50,5
1.0,4,1.33,2.00,100
1.0,4,1.33,3.00,100
1.0,4,1.33,4.00,100
1.0,4,1.33,5.00,100
1.0,4,1.33,6.00,100
1.0,4,1.33,7.00,95
1.0,5,1.42,1.50,0
1.0,5,1.42,2.00,100
1.0,5,1.42,3.00,100
1.0,5,1.42,4.00,100
1.0,5,1.42,5.00,100
1.0,5,1.42,6.00,100
1.0,5,1.42,7.00,100
